StudyID,NCTNumber,StudyTitle,FirstAuthor,PublicationYear,StartYear,CompletionYear,StudyDuration,Country,Settings,Settings Category,Phase,Phase Category,PopulationsStudied,Population Category,Conditions,Condition Category,VaccineName,Vaccine Name Category,VaccineType,Types of Vaccines Category,Outcome,Vaccine Outcomes Category,SampleSize,Sex,PercentageFemale,LossToFollow-up,MainResults,Significance Category,MainLimitations,Main Limitations Category,Manufacturer Type,Cleaned Manufacturer Type,Manufacturer Category,Source of Funding,Cleaned Funding Source,Funding Category,StudyStatus,Sponsor,Sponsor Category,Collaborators,Collaborator Category,CountryCount,SampleSizeCategory
50.0,NCT04672395,Impact of previous exposure to SARS-CoV-2 and of S-Trimer (SCB-2019) COVID-19 vaccination on the risk of reinfection: a randomised double-blinded placebo-controlled phase 2 and 3 trial,Igor Smolenov,2022.0,2021.0,2021.0,1.0,South Africa,Multicenter trial across 31 sites in five countries,Multicenter and International Studies,Phase 2/3,Mid-Phase Trials,Adults aged 18 years or older,Adults,SARS-CoV-2/COVID-19,Viral,SCB-2019,Other,Adjuvanted-protein COVID-19 vaccine candidate,Subunit/Protein,Efficacy against COVID-19 of varying severity and impact of previous SARS-CoV-2 exposure,Efficacy,30174.0,Both Genders,48.7,,Significant protection against COVID-19 from previous SARS-CoV-2 exposure. Vaccine efficacy of 49.9% after one dose and 64.2% after two doses in previously exposed individuals,Significant,,Not Reported,Clover Biopharmaceuticals,Clover Biopharmaceuticals,Pharmaceutical,Clover Biopharmaceuticals and The Coalition for Epidemic Preparedness Innovations (CEPI),Clover Biopharmaceuticals And The Coalition For Epidemic Preparedness Innovations,Government,Completed  Published,,,,,1.0,Very Large
51.0,59683017,BCG-induced non-specific effects on heterologous infectious disease in Ugandan neonates: an investigator-blind randomised controlled trial,Sarah Prentice,2021.0,2014.0,2015.0,2.0,Uganda,Entebbe Grade B District Hospital in Wakiso District  Uganda,Hospitals  Health Centers  and Clinics,,Not Reported,Ugandan neonates,Neonates and Infants,Neonatal mortality,Other,BCG 1331/Danish (Statens Serum Institute Denmark),Tuberculosis,BCG (Bacille Calmette-Guerin) vaccine,Live attenuated,Incidence of physician-diagnosed non-tuberculous infectious disease  secondary outcomes included parental reports of infectious disease  blood culture-positive infectious disease rates  and mortality,Secondary Disease,560.0,,,,Lower incidence of physician-diagnosed non-tuberculous infectious disease in infants vaccinated with BCG at birth compared to delayed group,Inconclusive or Mixed Results,,Not Reported,Statens Serum Institute  Denmark,Statens Serum Institute  Denmark,Pharmaceutical,,Unknown,Not Reported,Completed  Published,,,,,1.0,Medium
59.0,DOH-27-022021-6844  ClinicalTrials.gov NCT04838795  Pan African Clinical Trials Registry PACTR202102855526180,Effectiveness of the Ad26.COV2.S vaccine in health-care workers in South Africa (the Sisonke study): results from a single-arm open-label phase 3B implementation study,Linda-Gail Bekker,2022.0,2021.0,2021.0,1.0,South Africa,Health-care settings across all regions of South Africa,Miscellaneous and Non-Specific Locations,Phase 3,Late Phase Trials,Health-care workers aged 18 years and older,Healthcare Workers,SARS-CoV-2/COVID-19,Viral,Ad26.COV2.S (Johnson & Johnson),COVID-19,Viral vector vaccine,Other,Vaccine effectiveness against severe COVID-19  including hospitalization requiring critical or intensive care  and COVID-19-related deaths,Efficacy,477.0,Both Genders,74.9,,Vaccine effectiveness was 83% to prevent COVID-19-related deaths  75% to prevent COVID-19-related hospital admissions requiring critical or intensive care  and 67% to prevent COVID-19-related hospitalizations,Significant,,Not Reported,Johnson & Johnson,Johnson & Johnson,Pharmaceutical,,Unknown,Not Reported,Completed  Published,,,,,1.0,Medium
64.0,NCT03299426,Safety and immunogenicity of a typhoid conjugate vaccine among children aged 9 months to 12 years in Malawi: a nested substudy of a double-blind randomised controlled trial,Nginache Nampota-Nkomba,2022.0,2018.0,2018.0,1.0,Malawi,Ndirande Health Centre in Ndirande township  Blantyre  Malawi,Community-Based Settings,Phase 3,Late Phase Trials,Children aged 9 months to 12 years in Malawi,Children and Adolescents,Typhoid fever,Bacterial,Typbar TCV,Typhoid,Typhoid conjugate vaccine (TCV),Conjugate,Immunogenicity and safety of TCV among children in Malawi,Immunogenicity,664.0,,,,TCV showed a significant increase in anti-Vi IgG geometric mean titres and was found to be safe and tolerable up to 730-1035 days post-vaccination,Significant,,Not Reported,Bharat Biotech International,Bharat Biotech International,Pharmaceutical,,Unknown,Not Reported,Completed  Published,,,,,1.0,Medium
65.0,NCT03276962,Efficacy of RTSS/AS01E malaria vaccine administered according to different full fractional and delayed third or early fourth dose regimens in children aged 5-17 months in Ghana and Kenya: an open-label phase 2b randomised controlled trial,Aaron M Samuels,2022.0,2017.0,2018.0,2.0,Ghana | Kenya,Malaria Research Center Agogo  Ashanti Region  Ghana and the Kenya Medical Research Institute and the US CDC site in Siaya County  Kenya,Research Institutes and Academic Settings,Phase 2,Mid-Phase Trials,Children aged 5 to 17 months,Children and Adolescents,Malaria,Parasitic,RTSS/AS01E,Malaria,Malaria vaccine,Other,Occurrence of clinical malaria cases from month 2.5 until month 14 for the Fx012-14 group versus the pooled R012-14 and R012-20 groups in the per-protocol set,Other,2157.0,,,,Incremental vaccine efficacy in the Fx012-14 group versus the pooled R012-14 and R012-20 groups was -21% over 12 months after dose three. No safety signals observed,Significant,,Not Reported,GSK Marburg  Germany (owned by Bavarian Nordic Hellerup  Denmark),Gsk Marburg  Germany,Pharmaceutical,GlaxoSmithKline Biologicals; PATH Malaria Vaccine Initiative,Glaxosmithkline Biologicals,Philanthropic,Completed  Published,,,,,2.0,Large
66.0,NCT02943902,Immunogenicity of a single-dose compared with a two-dose primary series followed by a booster dose of ten-valent or 13-valent pneumococcal conjugate vaccine in South African children: an open-label randomised non-inferiority trial,Shabir A Madhi,2020.0,2017.0,2017.0,1.0,South Africa,Single centre in Soweto  South Africa,Miscellaneous and Non-Specific Locations,,Not Reported,HIV-unexposed infants,Neonates and Infants,Pneumococcal disease,Bacterial,PCV10 (Synflorix) and PCV13 (Prevnar-13),Pneumococcal,Pneumococcal conjugate vaccines (PCV10 and PCV13),Conjugate,Geometric mean concentrations (GMCs) of serotype-specific IgG 1 month after the booster dose,Other,1695.0,,,,For both PCV13 and PCV10  a 1+1 dosing schedule was non-inferior to a 2+1 schedule. 84 serious adverse events were reported in 72 (12%) of 600 participants  with none considered to be related to PCV injection,Non-Inferior,,Not Reported,PCV10 by GlaxoSmithKline  Belgium and PCV13 by Pfizer  USA,Pcv10 By Glaxosmithkline  Belgium And Pcv13 By Pfizer  Usa,Pharmaceutical,The Bill & Melinda Gates Foundation,The Bill & Melinda Gates Foundation,Philanthropic,Completed  Published,,,,,1.0,Large
67.0,ISRCTN11311670,BCG re-vaccination in Malawi: 30-year follow-up of a large randomised double-blind placebo-controlled trial,Judith R Glynn,2021.0,1986.0,2018.0,33.0,Malawi,Northern Malawi,Miscellaneous and Non-Specific Locations,,Not Reported,Individuals of all ages living in northern Malawi with a BCG vaccine scar,General Population,Tuberculosis,Bacterial,BCG (Bacille Calmette-Guerin),Tuberculosis,BCG vaccine,Live attenuated,Diagnosis of pulmonary tuberculosis was considered certain if culture  GeneXpert  or genotyping showed M. tuberculosis,Other,824.0,,,,No effect of a second BCG overall for tuberculosis or lymph node tuberculosis. Lower odds ratio for those with known HIV-negative tuberculosis and those vaccinated as children,Inconclusive or Mixed Results,,Not Reported,,Not Reported,Not Reported,LEPRA  Wellcome Trust  Bill & Melinda Gates Foundation,Lepra,Philanthropic,Completed  Published,,,,,1.0,Medium
68.0,NCT02391415,Safety and immunogenicity of VPM1002 versus BCG in South African newborn babies: a randomised phase 2 non-inferiority double-blind controlled trial,,2022.0,2015.0,2017.0,3.0,South Africa,Four health centres in South Africa,Miscellaneous and Non-Specific Locations,Phase 2,Mid-Phase Trials,HIV exposed and HIV unexposed newborn babies,Neonates and Infants,Tuberculosis,Bacterial,VPM1002 and BCG,Tuberculosis,Recombinant BCG vaccine and standard BCG vaccine,Live attenuated,Safety and immunogenicity assessment in terms of interferon-γ levels and percentages of multifunctional CD4+ and CD8+ T cells,Immunogenicity,,,,,,Unknown or Not Stated,,Not Reported,,Not Reported,Not Reported,Serum Institute of India,Serum Institute Of India,Industry,Completed  Published,,,,,1.0,Unknown
69.0,NCT02834637,Immunogenicity and safety of one-dose human papillomavirus vaccine compared with two or three doses in Tanzanian girls (DoRIS): an open-label randomised non-inferiority trial,Deborah Watson-Jones,2022.0,2017.0,2018.0,2.0,Tanzania,Government schools in Mwanza  Tanzania,Government and Educational Institutions,Phase 3,Late Phase Trials,Healthy schoolgirls aged 9-14 years,Children and Adolescents,Human papillomavirus (HPV) ,Cancer,Cervarix (2-valent) and Gardasil-9 (9-valent),Rotavirus,2-valent and 9-valent HPV vaccines,Other,HPV 16 and HPV 18 specific seropositivity following one dose compared with two or three doses of the same HPV vaccine 24 months after vaccination,Other,930.0,Female only,100.0,,99% of participants who received one dose of either HPV vaccine were seropositive for HPV 16 IgG antibodies at 24 months  comparable to those who received two or three doses. Anti-HPV 18 seropositivity at 24 months did not meet non-inferiority criteria for one dose compared to two or three doses  although more than 98% had HPV 18 antibodies,Non-Inferior,,Not Reported,GSK Biologicals (Cervarix) and Sanofi Pasteur MSD (Gardasil-9),Gsk Biologicals,Pharmaceutical,UK Department for International Development/UK Medical Research Council/Wellcome Trust Joint Global Health Trials Scheme  The Bill & Melinda Gates Foundation  and the US National Cancer Institute,Uk Department For International Development,Philanthropic,Completed  Published,,,,,1.0,Medium
70.0,NCT02834637,Comparing one dose of HPV vaccine in girls aged 9-14 years in Tanzania (DoRIS) with one dose of HPV vaccine in historical cohorts: an immunobridging analysis of a randomised controlled trial,,2022.0,2017.0,2018.0,2.0,Tanzania,Government schools in Mwanza  Tanzania,Government and Educational Institutions,Phase 3,Late Phase Trials,Girls aged 9 to 14 years,Children and Adolescents,Human papillomavirus (HPV),Cancer,Cervarix (2-valent) and Gardasil 9 (9-valent),Rotavirus,2-valent and 9-valent HPV vaccines,Other,Geometric mean concentrations (GMCs) for HPV16 and HPV18 IgG antibodies at 24 months,Other,930.0,Female only,100.0,,Non-inferiority of antibody GMCs for HPV16 and HPV18 was met for both the 2-valent and 9-valent vaccines in the DoRIS trial compared with historical cohorts,Non-Inferior,,Not Reported,GSK Biologicals (Cervarix) and Sanofi Pasteur MSD (Gardasil 9),Gsk Biologicals,Pharmaceutical,UK Department for International Development/UK Medical Research Council/Wellcome Trust Joint Global,Uk Department For International Development,Philanthropic,Completed  Published,,,,,1.0,Medium
